date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:21	51137/51137	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-c7c1%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/widgets/widgets.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/widgets/widgets.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:22	60623/60623	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-eccf%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/boxed-layout.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/boxed-layout.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:22	60614/60614	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-ecc6%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/rtl-layout.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/rtl-layout.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:22	60623/60623	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-eccf%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/compact-menu.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/compact-menu.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:22	60628/60628	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-ecd4%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/sidebar-collapsed.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/sidebar-collapsed.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:23	60648/60648	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-ece8%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/sidebar-hidden.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/sidebar-hidden.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:23	60642/60642	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-ece2%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/sidebar-hidden-overlay.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/sidebar-hidden-overlay.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:23	60624/60624	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-ecd0%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/sidebar-fixed.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/layout/sidebar-fixed.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:24	45908/45908	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-b354%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/accordions.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/accordions.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:24	48348/48348	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-bcdc%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/buttons.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/buttons.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:24	42860/42860	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-a76c%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/badges.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/badges.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:24	43451/43451	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-a9bb%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/breadcrumbs.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/breadcrumbs.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:25	64999/64999	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-fde7%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/dropdowns.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/dropdowns.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:25	42807/42807	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-a737%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/modals.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/modals.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:25	45481/45481	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-b1a9%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/progress.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/progress.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:25	40876/40876	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-9fac%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/pagination.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/pagination.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:26	59850/59850	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-e9ca%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/tabs.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/tabs.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:26	51213/51213	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-c80d%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/typography.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/typography.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:26	39352/39352	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-99b8%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/tooltips.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/tooltips.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:27	52343/52343	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-cc77%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/dragula.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/dragula.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:27	35233/35233	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-89a1%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/clipboard.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/clipboard.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:27	35593/35593	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-8b09%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/context-menu.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/context-menu.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:27	41996/41996	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-a40c%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/slider.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/slider.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:28	41084/41084	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-a07c%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/carousel.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/carousel.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:28	33280/33280	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-8200%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/colcade.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/colcade.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:29	34545/34545	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-86f1%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/loaders.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/loaders.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:29	73748/73748	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-12014%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/basic_elements.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/basic_elements.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:29	54510/54510	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-d4ee%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/advanced_elements.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/advanced_elements.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:29	36948/36948	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-9054%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/validation.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/validation.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:30	37450/37450	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-924a%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/wizard.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/wizard.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:30	34671/34671	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-876f%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/text_editor.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/text_editor.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:31	38000/38000	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-9470%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/code_editor.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/forms/code_editor.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:32	33176/33176	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-8198%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/chartjs.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/chartjs.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:32	32723/32723	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-7fd3%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/morris.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/morris.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:33	34032/34032	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-84f0%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/flot-chart.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/flot-chart.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:34	33859/33859	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-8443%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/google-charts.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/google-charts.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:34	32937/32937	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-80a9%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/sparkline.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/sparkline.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:34	33310/33310	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-821e%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/c3.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/c3.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:35	33597/33597	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-833d%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/chartist.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/chartist.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:36	34117/34117	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-8545%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/justGage.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/charts/justGage.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:37	58119/58119	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-e307%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/tables/basic-table.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/tables/basic-table.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:38	38595/38595	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-96c3%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/tables/data-table.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/tables/data-table.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:38	33384/33384	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-8268%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/tables/js-grid.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/tables/js-grid.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:39	37262/37262	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-918e%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/tables/sortable-table.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/tables/sortable-table.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:40	35346/35346	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-8a12%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/popups.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/popups.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:40	39507/39507	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-9a53%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/notifications.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/ui-features/notifications.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:41	57763/57763	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-e1a3%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/icons/flag-icons.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/icons/flag-icons.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
13:30:41	137767/137767	---MCZ	200	added ('OK')	text/html	etag:W/%225fd0e0ca-21a27%22	https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/icons/font-awesome.html	C:/Users/axmed/OneDrive/Desktop/Admin%20Panel/Victory%20Admin/www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/pages/icons/font-awesome.html	(from https://www.bootstrapdash.com/demo/victory/template/demo/vertical-default-dark/index.html)
